变形前
0,0
1220,0
0,936
1220,936
1212,925
1162,929
1097,930
1032,930
968,930
904,930
839,930
774,931
709,929
645,931
580,929
517,931
452,931
387,929
322,930
258,929
195,931
131,929
64,929
8,927
709,64
646,65
583,64
516,64
452,64
904,129
840,129
773,131
710,129
646,130
582,129
516,129
451,129
388,129
324,131
257,130
194,128
128,129
65,131
13,131
1212,258
1161,259
1097,259
1032,259
969,258
902,258
840,258
777,259
711,259
646,258
581,259
515,257
453,258
388,257
324,259
257,258
195,258
130,259
65,259
9,259
1210,386
1161,386
1097,387
1032,388
969,385
907,385
838,386
776,387
709,388
646,388
581,387
517,387
452,388
388,387
324,387
259,387
193,388
130,386
66,387
9,387
1211,517
1163,516
1096,515
1033,516
969,517
904,515
840,516
773,516
708,515
646,516
583,516
518,515
454,515
388,516
323,514
257,515
193,514
128,515
65,516
8,516
1209,644
1163,644
1097,646
1034,645
968,644
903,644
838,642
776,646
710,644
646,645
582,645
517,646
453,645
388,645
323,644
258,645
194,644
129,644
66,645
7,646
1212,774
1162,774
1099,772
1035,775
969,776
904,774
839,773
776,774
709,776
647,776
581,774
517,774
452,774
389,774
324,773
258,775
194,777
130,774
66,774
8,776
1162,903
1100,904
1032,905
969,904
903,902
838,903
774,902
711,903
648,902
582,902
516,903
454,903
388,905
323,903
260,902
194,903
129,904
65,904
645,7
581,7

变形后
0,0
1220,0
0,936
1220,936
1147,892
1104,901
1045,905
986,905
930,911
870,911
814,916
754,921
697,922
638,923
577,925
518,925
457,925
398,928
339,924
281,923
219,921
164,909
107,907
54,902
707,43
646,39
586,41
524,44
466,47
889,100
829,100
768,100
707,102
650,104
587,103
530,105
468,108
409,111
346,114
284,115
224,116
159,115
97,118
48,123
1183,248
1131,239
1069,229
1008,230
948,229
888,229
825,228
768,227
706,226
649,227
591,228
532,231
471,232
413,233
351,236
291,236
226,236
169,238
105,244
53,250
1168,375
1120,371
1060,367
1004,364
943,364
885,362
823,360
765,360
705,360
646,359
589,360
528,360
472,362
411,365
351,364
293,367
235,368
179,371
118,374
67,378
1155,506
1111,501
1051,500
996,498
937,496
881,495
822,495
764,495
703,494
647,495
587,495
528,496
469,497
411,496
350,498
292,499
234,501
176,504
118,507
68,507
1145,633
1102,631
1047,630
992,631
934,628
877,628
819,630
760,630
701,629
644,630
585,631
526,632
466,632
407,632
348,633
288,635
232,636
172,635
111,635
62,639
1139,756
1096,757
1045,757
987,759
931,761
875,761
817,763
759,765
699,766
643,766
583,767
523,768
463,768
405,768
345,768
285,767
227,766
168,764
112,761
63,762
1102,877
1045,881
988,881
930,885
872,887
814,891
757,894
698,896
637,899
579,899
517,899
459,899
401,900
340,898
280,898
222,895
165,887
107,883
584,4
647,3


